Number of Layers,Number of Oxygen Atoms,Surface Energy
3,6,0.21705775479794662
4,8,0.23884243493410756
5,10,0.21713090879201635
6,12,0.23885120937243914
7,14,0.33307046935117424
8,16,0.23886520670730216
9,18,0.2171315930106257
10,20,0.3938920339670033
