Number of Layers,Number of Copper Atoms,Number of Oxygen Atoms,Surface Energy
3,33,17,0.5709046097606661
4,39,23,0.808980270859695
5,51,29,1.0019372339967592
6,63,35,1.184597131183352
7,78,41,1.2688159477730097
8,93,47,1.4712233262188206
9,105,53,1.6460188487265095
10,117,59,1.8137618623966134
