Number of Layers,Number of Copper Atoms,Number of Oxygen Atoms,Cleavage Energy
3,36,17,0.8486503763414515
4,48,23,1.122505478143694
5,60,29,1.3972876692110223
6,72,35,1.7026302765481165
7,84,41,1.9872902445165066
8,96,47,2.2611453500170073
9,108,53,2.556610180453298
10,120,59,2.8412701484216294
