Number of Layers,Number of Oxygen Atoms,Surface Energy
3,6,0.15416508443751026
4,8,0.18335765368000906
5,10,0.35285573411552595
6,12,0.3467354743512156
7,14,0.23023331066600145
8,16,0.2961247710504482
9,18,0.34685503091994696
10,20,0.22638172801723014
