Number of Layers,Number of Oxygen Atoms,Surface Energy
3,21,-2.0698460628427964
4,18,-1.5978140019648759
5,21,-1.494856509196157
6,18,-1.0228244483182796
7,21,-0.9198669555494663
8,18,-0.44783489467152937
9,21,-0.3448774019028594
10,18,0.12715465897513412
