Number of Layers,Number of Oxygen Atoms,Surface Energy
3,8,-0.3447933168625646
4,12,-1.0217640490141264
5,18,-1.636890483639733
6,18,-1.4525481934553892
7,24,-2.067688237142548
8,26,-2.314146041799332
9,32,-2.929283136067009
10,34,-3.175700405214061
