Number of Layers,Number of Oxygen Atoms,Surface Energy
3,6,0.08625065545669239
4,8,0.08629750145044832
5,10,0.08629954480577967
6,12,0.08629966983945331
7,14,0.08630294666338054
8,16,0.08629997123298423
9,18,0.08632112674267349
10,20,0.08631782584969461
