Number of Layers,Number of Oxygen Atoms,Surface Energy
3,6,0.06431779466156065
4,8,0.12082789947464298
5,10,0.10679282166010862
6,12,0.06448320132004769
7,14,0.06450542136695792
8,16,0.12108414942120173
9,18,0.06452908100200179
10,20,0.06452550140355047
