Number of Layers,Number of Oxygen Atoms,Surface Energy
3,6,0.08631680356004742
4,8,0.08636797818702122
5,10,0.08638188465620748
6,12,0.08637704209693574
7,14,0.08637319204725916
8,16,0.08637063769920998
9,18,0.08636967801121394
10,20,0.08636936406394734
