Number of Layers,Number of Copper Atoms,Number of Oxygen Atoms,Surface Energy
3,39,19,0.8082274847581147
4,51,25,1.0972216290754906
5,63,31,1.4098233675337648
6,75,37,1.7327573585212
7,87,43,2.1291062333561888
8,99,49,2.3639637220788003
9,111,55,2.7000052809217197
10,123,61,3.111956903793012
